implementationBatch,sourceCsvRow,state,priority,category,providerName,proposedSlug,providerRole,officialWebsite,sourceType,candidateRecommendedAction,codexDecision,existingMatchedSlug,existingMatchReason,normalizedDomain,existingDomainSlugs,coverageModel,recommendedZipPrefixesIfKnown,exactZipsIfKnown,addressCheckRequired,shouldCreateMovingTask,shouldShowInNormalRecommendations,shouldShowTrackAsService,riskLevel,codexReason
BATCH_2_LOCAL_UTILITY_REVIEW,32,AK,High,UTILITY_SEWER,City and Borough of Juneau Wastewater Utility,juneau-wastewater-utility,START_STOP_SERVICE_PROVIDER,https://juneau.org,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,juneau-water-utility,Same Juneau customer utility account as the planned water row; fold wastewater into one municipal account.,juneau.org,,existing_provider_update,998,,yes,no,no,no,MEDIUM,Same Juneau customer utility account as the planned water row; fold wastewater into one municipal account.
BATCH_2_LOCAL_UTILITY_REVIEW,31,AK,High,UTILITY_SEWER,College & Golden Heart Utilities Wastewater,college-golden-heart-utilities-wastewater,START_STOP_SERVICE_PROVIDER,https://www.mywater.us/alaska/about-us-menu,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,college-golden-heart-utilities-water,Same College & Golden Heart Utilities account as the planned water row; avoid duplicate water/sewer providers.,mywater.us,,existing_provider_update,997,,yes,no,no,no,MEDIUM,Same College & Golden Heart Utilities account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,33,AK,High,UTILITY_SEWER,Ketchikan Public Utilities Wastewater,ketchikan-public-utilities-wastewater,START_STOP_SERVICE_PROVIDER,https://www.ketchikan.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,ketchikan-public-utilities-electric,Same Ketchikan Public Utilities account/domain as the existing Batch 1 electric row.,ketchikan.gov,ketchikan-public-utilities-electric,existing_provider_update,999,,yes,no,no,no,MEDIUM,Same Ketchikan Public Utilities account/domain as the existing Batch 1 electric row.
BATCH_2_LOCAL_UTILITY_REVIEW,25,AK,High,UTILITY_WATER,Ketchikan Public Utilities Water,ketchikan-public-utilities-water,START_STOP_SERVICE_PROVIDER,https://www.ketchikan.gov/water,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,ketchikan-public-utilities-electric,Same Ketchikan Public Utilities account/domain as the existing Batch 1 electric row.,ketchikan.gov,ketchikan-public-utilities-electric,existing_provider_update,999,,yes,no,no,no,MEDIUM,Same Ketchikan Public Utilities account/domain as the existing Batch 1 electric row.
BATCH_2_LOCAL_UTILITY_REVIEW,39,AL,High,UTILITY_SEWER,City of Tuscaloosa Sewer,tuscaloosa-sewer,START_STOP_SERVICE_PROVIDER,https://www.tuscaloosa.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,tuscaloosa-water,Same City of Tuscaloosa utility account as the planned water row; avoid duplicate water/sewer providers.,tuscaloosa.com,,existing_provider_update,354,,yes,no,no,no,MEDIUM,Same City of Tuscaloosa utility account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,35,AL,High,UTILITY_SEWER,Mobile Area Water and Sewer System Sewer,mawss-sewer,START_STOP_SERVICE_PROVIDER,https://www.mawss.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,mawss-water,Same MAWSS account as the planned water row; avoid duplicate water/sewer providers.,mawss.com,,existing_provider_update,366,,yes,no,no,no,MEDIUM,Same MAWSS account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,29,AL,High,UTILITY_WATER,Huntsville Utilities Water,huntsville-utilities-water,START_STOP_SERVICE_PROVIDER,https://www.hsvutil.org,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,huntsville-utilities-electric,Same Huntsville Utilities account/domain as the existing Batch 1 electric row.,hsvutil.org,huntsville-utilities-electric,existing_provider_update,357;358,,yes,no,no,no,MEDIUM,Same Huntsville Utilities account/domain as the existing Batch 1 electric row.
BATCH_2_LOCAL_UTILITY_REVIEW,44,AR,High,UTILITY_SEWER,Bentonville Wastewater Utilities,bentonville-wastewater-utilities,START_STOP_SERVICE_PROVIDER,https://www.bentonvillear.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,bentonville-water-utilities,Same Bentonville utilities account as the planned water row; avoid duplicate water/sewer providers.,bentonvillear.com,,existing_provider_update,727,,yes,no,no,no,MEDIUM,Same Bentonville utilities account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,41,AR,High,UTILITY_SEWER,Conway Corp Wastewater,conway-corp-wastewater,START_STOP_SERVICE_PROVIDER,https://www.conwaycorp.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,conway-corp-electric,Same Conway Corp multi-utility account/domain as the existing Batch 1 electric row.,conwaycorp.com,conway-corp-electric,existing_provider_update,720,,yes,no,no,no,MEDIUM,Same Conway Corp multi-utility account/domain as the existing Batch 1 electric row.
BATCH_2_LOCAL_UTILITY_REVIEW,39,AR,High,UTILITY_SEWER,Fayetteville Water and Sewer,fayetteville-sewer,START_STOP_SERVICE_PROVIDER,https://www.fayetteville-ar.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,fayetteville-water,Same Fayetteville water/sewer account as the planned water row; avoid duplicate category rows.,fayetteville-ar.gov,,existing_provider_update,727,,yes,no,no,no,MEDIUM,Same Fayetteville water/sewer account as the planned water row; avoid duplicate category rows.
